GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pro Biblio,com.pro.ynov.com.domain,Theme_,3,0,0,0,1,0,1,0,1,0
Pro Biblio,com.pro.ynov.com.domain,User,0,196,0,8,0,50,0,34,0,30
Pro Biblio,com.pro.ynov.com.domain,Exemplaire,52,25,8,0,13,10,9,7,5,7
Pro Biblio,com.pro.ynov.com.domain,Auteur_,3,0,0,0,1,0,1,0,1,0
Pro Biblio,com.pro.ynov.com.domain,Theme,76,30,8,0,19,11,11,7,7,7
Pro Biblio,com.pro.ynov.com.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Pro Biblio,com.pro.ynov.com.domain,Emprunt,61,28,8,0,17,11,11,8,7,8
Pro Biblio,com.pro.ynov.com.domain,Emplacement_,3,0,0,0,1,0,1,0,1,0
Pro Biblio,com.pro.ynov.com.domain,PersistentAuditEvent_,3,0,0,0,1,0,1,0,1,0
Pro Biblio,com.pro.ynov.com.web.rest.errors,ExceptionTranslator,145,255,11,11,35,55,13,13,5,10
Pro Biblio,com.pro.ynov.com.web.rest.errors,InvalidPasswordException,0,6,0,0,0,2,0,1,0,1
Pro Biblio,com.pro.ynov.com.web.rest.errors,BadRequestAlertException,0,54,0,0,0,12,0,5,0,5
Pro Biblio,com.pro.ynov.com.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Pro Biblio,com.pro.ynov.com.web.rest.errors,ErrorConstants,0,16,0,0,0,5,0,1,0,1
Pro Biblio,com.pro.ynov.com.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Pro Biblio,com.pro.ynov.com.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Pro Biblio,com.pro.ynov.com.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Pro Biblio,com.pro.ynov.com.service.dto,UserDTO,0,242,0,0,0,60,0,29,0,29
Pro Biblio,com.pro.ynov.com.service.dto,PasswordChangeDTO,0,26,0,0,0,12,0,6,0,6
